,KRZAST,KSTRANA,PORCISLO,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,POCHLASU,POCPROC,POCPROCVSE,MANDAT,PORADIMAND,PORADIHAHR,KRZASTstr_,KSTRANAstr_,VSTRANA,NAZEVCELK,NAZEV_STRK,ZKRATKAK30,ZKRATKAK8,POCSTRVKO,SLOZENI,STAVREG,PLATNOSTstr_,SLOZNEPLAT
0,1,1,1,Josef,Vondrášek,Ing.,,58,starosta,Rožmitál pod Třemšínem,541231,99,47,0,2845,0.0,5.21,1.0,1.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
1,1,1,2,Zdeněk,Milata,Mgr.,,28,vychovatel,Milovice,537501,47,47,0,1642,0.0,3.0,1.0,2.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
2,1,1,3,Jiřina,Fialová,,,58,poslankyně,Vraňany,535303,47,47,0,1418,0.0,2.59,1.0,3.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
3,1,1,4,Luboš,Kudrna,MVDr.,,47,veterinární lékař,Hostivice,539244,47,47,0,1199,0.0,2.19,1.0,4.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
4,1,1,5,Pavel,Hubený,,,54,starosta,Hudlice,531227,47,47,0,820,0.0,1.5,1.0,5.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
5,1,1,6,Zuzana,Nekovářová,,,45,starostka,Všejany,536938,99,47,0,554,0.0,1.01,1.0,6.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
6,1,1,7,Zdeňka,Hajleková,Ing.,,49,lesní inženýrka,Brandýs nad Labem-Stará Boleslav,538094,47,47,0,865,0.0,1.58,1.0,7.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
7,1,1,8,Pavel,Jetenský,Ing.,,55,ekonom,Kostelec nad Černými Lesy,533416,47,47,0,903,0.0,1.65,1.0,8.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
8,1,1,9,Jiří,Svoboda,RSDr.,,56,podnikatel,Příbram,539911,47,47,0,902,0.0,1.65,1.0,9.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
9,1,1,10,Ivan,Cinka,Mgr.,,51,novinář,Benešov,529303,47,47,0,680,0.0,1.24,1.0,10.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
10,1,1,11,Ladislav,Peška,RNDr.,,50,ředitel CK,Slaný,532819,47,47,0,707,0.0,1.29,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
11,1,1,12,Hana,Horváthová,,,54,odborná referentka,Zruč nad Sázavou,534633,47,47,0,337,0.0,0.61,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
12,1,1,13,Jan,Krško,Mgr.,,36,archivář,Lužná,542041,47,47,0,555,0.0,1.01,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
13,1,1,14,Hana,Vojtová,Mgr.,,42,učitelka,Neratovice,535087,47,47,0,629,0.0,1.15,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
14,1,1,15,Zdeněk,Štefek,Ing.,,33,správce PC sítě,Buštěhrad,532169,47,47,0,680,0.0,1.24,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
15,1,1,16,Jan,Klán,Bc.,,25,student,Záboří nad Labem,534595,47,47,0,397,0.0,0.72,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
16,1,1,17,Marie,Krejčová,,,50,politická pracovnice,Vlašim,530883,47,47,0,317,0.0,0.58,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
17,1,1,18,Ondřej,Hofmann,,,23,vlakvedoucí,Rakovník,541656,47,47,0,713,0.0,1.3,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
18,1,1,19,Vladislav,Košnar,JUDr.,,55,právník,Tři Dvory,533769,99,47,0,434,0.0,0.79,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
19,1,1,20,Jana,Klasová,RSDr.,,62,podnikatelka,Slaný,532819,47,47,0,546,0.0,1.0,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
20,1,1,21,Josef,Slavíček,,,57,starosta obce,Choťovice,534994,47,47,0,260,0.0,0.47,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
21,1,1,22,Jaromír,Janík,,,50,dělník,Davle,539163,47,47,0,344,0.0,0.63,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
22,1,1,23,Josef,Dovolil,Ing.,,51,podnikatel,Mladá Boleslav,535419,47,47,0,550,0.0,1.0,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
23,1,1,24,Ladislav,Žalud,Ing.,,67,chemik,Hořovice,531189,47,47,0,322,0.0,0.58,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
24,1,1,25,Martina,Kostková,Mgr.,,29,právnička,Kladno,532053,99,47,0,638,0.0,1.16,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
25,1,1,26,Jiřina,Humlová,Mgr.,,50,právnička,Příbram,539911,47,47,0,1152,0.0,2.11,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
26,1,1,27,Miloš,Sarauer,,,27,počítačový technik,Kolín,533165,99,47,0,364,0.0,0.66,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
27,1,1,28,Alena,Grospičová,,,51,dělnice,Mladá Boleslav,535419,47,47,0,1095,0.0,2.0,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
28,1,1,29,Josef,Klement,,,28,zámečník,Nová Ves,538558,47,47,0,463,0.0,0.84,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
29,1,1,30,Alžběta,Hájková,,,47,úřednice,Kounice,537357,47,47,0,137,0.0,0.25,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
30,1,1,31,Hana,Šedivá,,,30,úřednice,Vysoký Újezd,513482,99,47,0,118,0.0,0.21,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
31,1,1,32,Josef,Hlaváček,,,41,ekonom,Milovice,537501,47,47,0,250,0.0,0.45,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
32,1,1,33,Martin,Škorpík,Ing.,,46,stavební technik,Kolín,533165,47,47,0,396,0.0,0.72,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
33,1,1,34,Jindřiška,Václavů,JUDr.,,52,právník,Zásmuky,533921,99,47,0,207,0.0,0.37,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
34,1,1,35,Vladislav,Zima,Ing.,,52,programátor- analytik,Kunice,538426,47,47,0,74,0.0,0.13,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
35,1,1,36,Karel,Skála,,,66,konstruktér,Mladá Boleslav,535419,47,47,0,708,0.0,1.29,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
36,1,1,37,Václav,Kohout,,,30,prodavač,Lysá nad Labem,537454,47,47,0,229,0.0,0.41,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
37,1,1,38,Kateřina,Pavlíková,,,34,dělnice,Nové Dvory,534242,47,47,0,354,0.0,0.64,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
38,1,1,39,Tomáš,Červenka,,,39,autodopravce,Chlumín,534820,99,47,0,112,0.0,0.2,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
39,1,1,40,Tomáš,Suchý,Ing.,,40,učitel,Mladá Boleslav,535419,99,47,0,437,0.0,0.8,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
40,1,1,41,Josef,Hála,RSDr.,,55,starosta,Jince,540404,47,47,0,594,0.0,1.08,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
41,1,1,42,Jitka,Hnyková,,,36,prodavačka,Kutná Hora,533955,47,47,0,300,0.0,0.54,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
42,1,1,43,Miloš,Bláha,,,42,zaměstnanec ČD,Pečky,537641,47,47,0,267,0.0,0.48,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
43,1,1,44,Bohumil,Franta,,,43,vedoucí obchodního střediska,Olbramovice,530344,47,47,0,123,0.0,0.22,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
44,1,1,45,Jan,Fryčer,,,44,bezpečnostní technik,Úvaly,538957,47,47,0,70,0.0,0.12,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
45,1,1,46,Vladimír,Moucha,Ing.,,53,ekonomický poradce,Kladno,532053,47,47,0,341,0.0,0.62,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
46,1,1,47,Milan,Beneš,,,42,technik,Bělá pod Bezdězem,535443,47,47,0,143,0.0,0.26,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
47,1,1,48,Ilona,Ryzáková,,,46,vedoucí objektu soc. služeb,Cerhenice,533246,47,47,0,129,0.0,0.23,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
48,1,1,49,Jana,Podaná,,,48,operátorka,Petrovice I,534315,47,47,0,130,0.0,0.23,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
49,1,1,50,Vladimír,Duník,,,51,mistr,Čelákovice,538132,47,47,0,158,0.0,0.28,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
50,1,1,51,Vladimír,Hermann,JUDr.,,60,právník,Kosmonosy,570826,47,47,0,229,0.0,0.41,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
51,1,1,52,Drahoslav,Hyka,,,60,pilot,Obříství,535133,47,47,0,208,0.0,0.38,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
52,1,1,53,Július,Masár,,,60,politický pracovník,Čelákovice,538132,47,47,0,97,0.0,0.17,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
53,1,1,54,Jan,Barták,JUDr.,,61,právník,Čelákovice,538132,99,47,0,125,0.0,0.22,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
54,1,1,55,Jan,Vašák,Prof. Ing.,CSc.,62,vědecký pracovník,Kralupy nad Vltavou,534951,47,47,0,306,0.0,0.56,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
55,1,1,56,Dagmar,Truxová,Ing.,CSc.,63,odborná referentka,Roztoky,539627,47,47,0,130,0.0,0.23,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
56,1,1,57,Vilém,Čechák,Ing.,,68,dopravní technik,Olbramovice,530344,47,47,0,180,0.0,0.32,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
57,1,1,58,Luboš,Vokolek,,,45,pracovník logistiky,Budiměřice,537055,47,47,0,81,0.0,0.14,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
58,1,1,59,Antonín,Bradáč,,,52,zaměstnanec BA,Bečváry,533181,47,47,0,115,0.0,0.21,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
59,1,1,60,Eva,Hroníková,,,53,prodavačka,Kladno,532053,47,47,0,212,0.0,0.38,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
60,1,1,61,Jiří,Stejskal,RSDr.,,54,obchodní zástupce,Nymburk,537004,47,47,0,132,0.0,0.24,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
61,1,1,62,Jaroslav,Jelínek,,,56,dělník- seřizovač,Sadská,537764,47,47,0,131,0.0,0.23,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
62,1,1,63,Ladislav,Strnad,Doc. Ing.,CSc.,66,VŠ učitel,Beroun,531057,47,47,0,280,0.0,0.51,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
63,1,1,64,Rudolf,Carvan,Bc.,,52,státní zaměstnanec,Kladno,532053,99,47,0,96,0.0,0.17,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
64,1,1,65,Bohumil,Spálenka,,,54,výpravčí ČD,Votice,530905,47,47,0,146,0.0,0.26,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
65,1,1,66,Josef,Mrkvička,,,55,lisař,Žleby,534668,47,47,0,88,0.0,0.16,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
66,1,1,67,Pavlína,Urbanová,,,56,zootechnik,Ruda,542326,47,47,0,159,0.0,0.29,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
67,1,1,68,Vladimír,Pokorný,,,58,mistr výroby,Kladno,532053,47,47,0,164,0.0,0.3,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
68,1,1,69,Marie,Strejcová,,,59,úřednice,Beroun,531057,47,47,0,157,0.0,0.28,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
69,1,1,70,Jaroslava,Dolejší,,,61,úřednice,Slaný,532819,47,47,0,116,0.0,0.21,0.0,0.0,,8,18,5,Strana zelených,Strana zelených,Strana zelených,SZ,1,005,0,0,
70,1,5,1,Magdalena,Havlovicová,MUDr.,,50,"zubní lékařka, zastupitelka",Kutná Hora,533955,99,103,0,300,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
71,1,5,2,Jan,Černý,MVDr.,,49,"veter. lékař, místostarosta",Kostelec nad Černými Lesy,533416,102,102,0,294,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
72,1,5,3,Vladimír,Kříž,PaedDr.,,64,ředitel pobočky VŠ v Příbrami,Příbram,539911,102,102,0,353,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
73,1,5,4,Karel,Protiva,MUDr.,,56,zubní lékař,Kladno,532053,40,40,0,164,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
74,1,5,5,Dana,Radová,Mgr.,,45,"ředitelka o.s., místostarostka",Líšnice,539457,99,103,0,128,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
75,1,5,6,Jiří,Machač,Ing.,,59,ekonom,Sulice,538833,40,40,0,68,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
76,1,5,7,Milan,Schweigstill,Mgr.,,43,"zást.řed. gymnázia, zastupitel",Mělník,534676,99,102,0,356,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
77,1,5,8,Zdeněk,Renc,,,61,Dipl. oční optik a optometr.,Rakovník,541656,102,102,0,57,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
78,1,5,9,Stanislava,Bílá,,,34,administrativní pracovnice,Mladá Boleslav,535419,102,102,0,68,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
79,1,5,10,Jan,Vaněček,Ing.,,48,zeměměřič,Brandýs nad Labem-Stará Boleslav,538094,99,102,0,147,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
80,1,5,11,Alexandra,Merunková,,,56,"redakt.Čes.rozhlasu,býv.star.",Mníšek pod Brdy,540765,99,103,0,146,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
81,1,5,12,Vladimír,Zdražil,Ing.,,50,ředitel společnosti,Lysá nad Labem,537454,99,103,0,61,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
82,1,5,13,Václav,Procházka,Mgr.,,29,"mineralog, VŠ pedagog",Kladno,532053,103,103,0,122,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
83,1,5,14,Jitka,Krupičková,,,58,majitelka lékárny,Kostelec nad Černými Lesy,533416,99,103,0,65,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
84,1,5,15,Helena,Koryntová,,,29,"obch. manaž., cvič. jezdectví",Višňová,541516,103,103,0,85,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
85,1,5,16,Michal,Štýs,Ing.,,43,podnikatel ve stavebnictví,Benátky nad Jizerou,535451,99,102,0,58,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
86,1,5,17,Svatopluk,Malík,,,56,"podnikatel, manažer",Beroun,531057,102,102,0,31,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
87,1,5,18,Tomáš,Roith,MUDr.,,61,"řed. Domu kn. Emmy, zastupitel",Neratovice,535087,99,40,0,131,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
88,1,5,19,Pavel,Schovánek,,,60,"soukr. podnikatel, zastupitel",Žebrák,532029,99,103,0,61,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
89,1,5,20,Marcel,Miška,,,38,podnikatel,Kladno,532053,40,40,0,40,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
90,1,5,21,Ladislav,Berit,Ing.,,57,"projektant, člen rady města",Kralupy nad Vltavou,534951,99,102,0,48,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
91,1,5,22,Jiří,Flek,,,52,živnostník,Kostelec nad Černými Lesy,533416,102,102,0,38,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
92,1,5,23,Antonín,Zrno,,,61,učitel včelařství,Benešov,529303,99,102,0,79,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
93,1,5,24,Petr,Volf,Mgr.,,30,scénárista a hudebník,Mělník,534676,99,102,0,131,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
94,1,5,25,Petr,Polnický,,,60,živnost.- obch. Jizba Nymburk,Čelákovice,538132,102,102,0,65,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
95,1,5,26,Jan,Havlovic,MUDr.,,50,"zubní lékař, zastupitel města",Kutná Hora,533955,99,103,0,144,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
96,1,5,27,Marcela,Kořánová,,,29,podnikatelka na mateř. dov.,Zaječov,531995,103,103,0,53,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
97,1,5,28,Martin,Charvát,Mgr.,,40,starosta městyse Plaňany,Plaňany,533581,99,103,0,58,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
98,1,5,29,Tomáš,Hošek,,,33,živnostník,Hořovice,531189,99,102,0,40,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
99,1,5,30,Marek,Hlaváč,,,21,student právnické fakulty,Říčany,538728,99,102,0,68,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
100,1,5,31,Vratislav,Kaválek,,,48,"inseminační technik,zastupitel",Stehelčeves,532851,40,40,0,50,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
101,1,5,32,Kamil,Dvořák,Ing.,,40,účetní,Černošice,539139,99,102,0,13,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
102,1,5,33,Václav,Hrabě,,,39,"soukromý zemědělec, starosta",Sedlec,529591,99,102,0,53,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
103,1,5,34,Vlastislav,Páca,MUDr.,,53,soukromý lékař - gynekolog,Příbram,539911,102,102,0,61,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
104,1,5,35,Květa,Ziková,Ing.,,52,ekonomka,Benešov,529303,102,102,0,24,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
105,1,5,36,Kateřina,Pokorná,MUDr.,,31,lékařka,Kutná Hora,533955,99,103,0,43,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
106,1,5,37,Petr,Kochleffl,,,35,"majitel náb. firmy, zastupitel",Senomaty,542377,99,102,0,9,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
107,1,5,38,Jan,Dibitanzl,,,42,živnostník,Benátky nad Jizerou,535451,99,102,0,20,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
108,1,5,39,Petr,Holub,Ing.,,46,starosta obce Měchenice,Měchenice,539490,99,103,0,24,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
109,1,5,40,Vladimír,Bartoš,,,41,"podnikatel, zastupitel městyse",Plaňany,533581,102,102,0,7,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
110,1,5,41,Martin,Lukeš,,,30,zprostředkovatel práce,Vlašim,530883,102,102,0,13,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
111,1,5,42,Jakub,Richtr,,,26,investiční specialista,Příbram,539911,133,103,0,23,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
112,1,5,43,Tomáš,Veselý,,,30,IT administrátor,Kostelec nad Černými Lesy,533416,102,102,0,21,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
113,1,5,44,Jana,Fajtová Krausová,Mgr.,,36,právnička na mateřské dovolené,Zeleneč,539066,102,102,0,20,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
114,1,5,45,Jaroslav,Černovský,,,56,penzista,Úmonín,534501,99,103,0,9,0.0,0.0,0.0,0.0,,8,37,155,SDŽ - Strana důstojného života,SDŽ - Strana důstojného života,SDŽ-Strana důstojného života,SDŽ,1,155,0,0,
