pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
Ing.,Palas,Jaroslav, ,1952-10-02,M,
Ing.,Škromach,Zdeněk, ,1956-12-31,M,
 ,Kladívko,Tomáš, ,1957-11-25,M,
Mgr.,Dienstbier,Jiří, ,1969-05-27,M,
doc. JUDr.,Pithart,Petr, ,1941-01-02,M,
RNDr.,Vystrčil,Miloš, ,1960-08-10,M,
Ing.,Bratský,Petr, ,1955-04-08,M,
MVDr.,Řihák,Josef, ,1959-04-25,M,
RNDr.,Bayerová,Marta, ,1956-05-31,Ž,
Ing.,Tesařík,Martin, ,1954-07-03,M,
RNDr.,Vondra,Alexandr, ,1961-08-17,M,
 ,Čunek,Jiří, ,1959-02-22,M,
Mgr.,Eybert,Pavel, ,1900-01-01,M,
PhDr.,Pospíšil,Jiří, ,1900-01-01,M,
 ,Štěch,Milan, ,1900-01-01,M,
RNDr.,Palečková,Alena, ,1900-01-01,Z,
MUDr.,Sobotka,Přemysl, ,1900-01-01,M,
Ing.,Korytář,Karel, ,1900-01-01,M,
 ,Doubrava,Jaroslav, ,1900-01-01,M,
MUDr.,Sefzig,Luděk, ,1900-01-01,M,
Ing. arch.,Filipiová,Daniela, ,1957-08-09,Z,
 ,Kubera,Jaroslav, ,1900-01-01,M,
Mgr.,Paukrtová,Soňa, ,1900-01-01,Z,
Ing.,Jílek,Adolf, ,1900-01-01,M,
Ing.,Bárek,Ivo, ,1900-01-01,M,
PaedDr.,Gajdůšková,Alena, ,1900-01-01,Z,
RNDr.,Škaloud,Miroslav, ,1900-01-01,M,
Ing.,Horník,Jan, ,1900-01-01,M,
Ing.,Jirsa,Tomáš, ,1900-01-01,M,
 ,Oberfalzer,Jiří, ,1900-01-01,M,
 ,Štětina,Jaromír, ,1900-01-01,M,
PhDr.,Čáslava,Pavel, ,1945-06-22,M,
JUDr.,Rippelová,Jiřina, ,1900-01-01,Z,
PhDr.,Grulich,Tomáš, ,1900-01-01,M,
 ,Töpfer,Tomáš, ,1900-01-01,M,
PhDr.,Jermář,Jaromír, ,1956-10-02,M,
 ,Šebek,Karel, ,1900-01-01,M,
Ing.,Pakosta,Petr, ,1900-01-01,M,
 ,Koukal,Václav, ,1900-01-01,M,
 ,Jonáš,Vítězslav, ,1900-01-01,M,
Ing.,Hajda,Jan, ,1900-01-01,M,
PhDr.,Svoboda,Richard,MBA,1900-01-01,M,
 ,Sekaninová,Božena, ,1900-01-01,Z,
MUDr.,Vlček,Václav, ,1900-01-01,M,
Mgr.,Veřovský,Otakar, ,1900-01-01,M,
Ing.,Vícha,Petr, ,1900-01-01,M,
Ing.,Juřenčáková,Jana, ,1900-01-01,Z,
PaedDr.,Homolka,Václav, ,1955-01-06,M,
Ing.,Lajtoch,Jiří, ,1900-01-01,M,
Mgr.,Nenutil,Miroslav, ,1900-01-01,M,
PhDr.,Chládek,Marcel,MBA,1900-01-01,M,
Ing.,Bis,Jiří, ,1941-04-26,M,
Ing. Bc.,Krejča,Miroslav,CSc.,1900-01-01,M,
MUDr.,Schwarz,Zdeněk, ,1900-01-01,M,
Ing.,Sykáček,Jaroslav, ,1900-01-01,M,
Ing.,Kapoun,Karel, ,1900-01-01,M,
MUDr.,Trpák,Pavel, ,1900-01-01,M,
MUDr.,Lebeda,Pavel, ,1900-01-01,M,
MUDr.,Dryml,Vladimír, ,1900-01-01,M,
JUDr.,Antl,Miroslav, ,1955-02-21,M,
Ing.,Zvěřinová,Dagmar, ,1900-01-01,Z,
prof. MUDr.,Janeček,Miloš,CSc.,1900-01-01,M,
Ing.,Richtrová,Eva, ,1900-01-01,Z,
MUDr.,Guziana,Petr, ,1900-01-01,M,
MUDr.,Sušil,Radek, ,1900-01-01,M,
Ing.,Doupovcová,Hana, ,1900-01-01,Z,
Ing.,Juránek,Stanislav, ,1956-01-24,M,
Ing.,Besta,Zdeněk, ,1948-05-02,M,
prof. MUDr.,Žaloudík,Jan,CSc.,1900-01-01,M,
Mgr.,Malý,Miloš, ,1900-01-01,M,
MUDr.,Dernerová,Alena, ,1958-09-13,Ž,
 ,Gawlas,Petr, ,1900-01-01,M,
Mgr.,Horská,Miluše, ,1900-01-01,Ž,
Ing.,Maštalíř,Antonín, ,1900-01-01,M,
PhDr.,Pešák,Milan, ,1900-01-01,M,
 ,Regec,Jozef, ,1900-01-01,M,
Ing.,Strnad,Jaromír, ,1900-01-01,M,
Ing.,Šilar,Petr, ,1900-01-01,M,
Ing.,Táborský,Josef, ,1900-01-01,M,
 ,Terelmešová,Dagmar, ,1900-01-01,Ž,
Ing.,Vrecionová,Veronika, ,1900-01-01,Ž,
